,date,state,handgun,long_gun,multiple
0,2021-02-01,Florida,66307.0,26720.0,2894
1,2021-02-01,Iowa,204.0,2462.0,2
2,2021-02-01,Nevada,6884.0,3079.0,419
3,2021-02-01,Ohio,28134.0,16727.0,1212
4,2021-01-01,Florida,97406.0,40173.0,4549
5,2021-01-01,Iowa,304.0,4155.0,5
6,2021-01-01,Nevada,9181.0,4325.0,546
7,2021-01-01,Ohio,45379.0,26775.0,1972
8,2020-12-01,Florida,81564.0,40115.0,3733
9,2020-12-01,Iowa,312.0,4678.0,11
10,2020-12-01,Nevada,8205.0,4599.0,529
11,2020-12-01,Ohio,33723.0,27057.0,1444
12,2020-11-01,Florida,84366.0,40575.0,4176
13,2020-11-01,Iowa,365.0,5751.0,4
14,2020-11-01,Nevada,9055.0,4507.0,565
15,2020-11-01,Ohio,37382.0,32959.0,1863
16,2020-10-01,Florida,83816.0,32346.0,3495
17,2020-10-01,Iowa,218.0,4151.0,5
18,2020-10-01,Nevada,8764.0,3693.0,516
19,2020-10-01,Ohio,35332.0,23048.0,1613
20,2020-09-01,Florida,76685.0,29317.0,3174
21,2020-09-01,Iowa,227.0,3541.0,2
22,2020-09-01,Nevada,8773.0,3700.0,444
23,2020-09-01,Ohio,32432.0,19759.0,1342
24,2020-08-01,Florida,85345.0,30914.0,3193
25,2020-08-01,Iowa,242.0,3223.0,6
26,2020-08-01,Nevada,9541.0,3884.0,488
27,2020-08-01,Ohio,37224.0,19937.0,1356
28,2020-07-01,Florida,106745.0,33102.0,3832
29,2020-07-01,Iowa,248.0,2685.0,6
30,2020-07-01,Nevada,11920.0,3949.0,594
31,2020-07-01,Ohio,43645.0,18865.0,1434
32,2020-06-01,Florida,133285.0,39111.0,4846
33,2020-06-01,Iowa,319.0,4009.0,8
34,2020-06-01,Nevada,14420.0,4220.0,621
35,2020-06-01,Ohio,54811.0,21686.0,1938
36,2020-05-01,Florida,73691.0,22529.0,2790
37,2020-05-01,Iowa,287.0,2825.0,9
38,2020-05-01,Nevada,10720.0,3997.0,604
39,2020-05-01,Ohio,37486.0,17996.0,1524
40,2020-04-01,Florida,84431.0,26731.0,3451
41,2020-04-01,Iowa,296.0,3284.0,8
42,2020-04-01,Nevada,12225.0,3870.0,695
43,2020-04-01,Ohio,37486.0,18560.0,1716
44,2020-03-01,Florida,117900.0,38365.0,6073
45,2020-03-01,Iowa,378.0,5778.0,13
46,2020-03-01,Nevada,13530.0,4712.0,877
47,2020-03-01,Ohio,63707.0,28817.0,3527
48,2020-02-01,Florida,59653.0,20306.0,2710
49,2020-02-01,Iowa,220.0,2419.0,7
50,2020-02-01,Nevada,6215.0,2706.0,342
51,2020-02-01,Ohio,29360.0,14843.0,1558
52,2020-01-01,Florida,54985.0,19973.0,2488
53,2020-01-01,Iowa,198.0,2030.0,4
54,2020-01-01,Nevada,5250.0,2413.0,278
55,2020-01-01,Ohio,24218.0,13069.0,999
56,2019-12-01,Florida,67435.0,31580.0,3150
57,2019-12-01,Iowa,271.0,4421.0,3
58,2019-12-01,Nevada,6307.0,3636.0,362
59,2019-12-01,Ohio,31054.0,23312.0,1380
60,2019-11-01,Florida,54799.0,24497.0,2924
61,2019-11-01,Iowa,348.0,4487.0,9
62,2019-11-01,Nevada,4892.0,2873.0,318
63,2019-11-01,Ohio,25230.0,24933.0,1390
64,2019-10-01,Florida,47504.0,19816.0,2494
65,2019-10-01,Iowa,174.0,2940.0,4
66,2019-10-01,Nevada,4402.0,2573.0,257
67,2019-10-01,Ohio,18896.0,16127.0,1124
68,2019-09-01,Florida,44565.0,18261.0,2361
69,2019-09-01,Iowa,131.0,2288.0,7
70,2019-09-01,Nevada,3985.0,2467.0,267
71,2019-09-01,Ohio,17083.0,13048.0,936
72,2019-08-01,Florida,54215.0,18910.0,2632
73,2019-08-01,Iowa,144.0,1985.0,5
74,2019-08-01,Nevada,4896.0,2596.0,285
75,2019-08-01,Ohio,22222.0,12658.0,1006
76,2019-07-01,Florida,43914.0,13570.0,1968
77,2019-07-01,Iowa,113.0,1264.0,4
78,2019-07-01,Nevada,3852.0,1891.0,240
79,2019-07-01,Ohio,15931.0,9342.0,748
80,2019-06-01,Florida,44378.0,13576.0,2484
81,2019-06-01,Iowa,117.0,1299.0,4
82,2019-06-01,Nevada,4117.0,2066.0,264
83,2019-06-01,Ohio,17949.0,9885.0,874
84,2019-05-01,Florida,45087.0,14214.0,2422
85,2019-05-01,Iowa,115.0,1471.0,1
86,2019-05-01,Nevada,4128.0,2161.0,254
87,2019-05-01,Ohio,17577.0,9758.0,864
88,2019-04-01,Florida,48329.0,15125.0,2130
89,2019-04-01,Iowa,200.0,1761.0,4
90,2019-04-01,Nevada,4502.0,2535.0,258
91,2019-04-01,Ohio,22541.0,11994.0,963
92,2019-03-01,Florida,59615.0,19429.0,2526
93,2019-03-01,Iowa,204.0,3014.0,5
94,2019-03-01,Nevada,6661.0,3114.0,393
95,2019-03-01,Ohio,31090.0,17313.0,1358
96,2019-02-01,Florida,51711.0,17833.0,2315
97,2019-02-01,Iowa,153.0,1935.0,6
98,2019-02-01,Nevada,5541.0,2524.0,293
99,2019-02-01,Ohio,25652.0,13985.0,1123
100,2019-01-01,Florida,47372.0,18749.0,2132
101,2019-01-01,Iowa,128.0,1887.0,0
102,2019-01-01,Nevada,5001.0,2386.0,257
103,2019-01-01,Ohio,19573.0,12290.0,828
104,2018-12-01,Florida,60210.0,30598.0,2584
105,2018-12-01,Iowa,262.0,4392.0,7
106,2018-12-01,Nevada,5889.0,3993.0,308
107,2018-12-01,Ohio,30746.0,25012.0,1227
108,2018-11-01,Florida,51850.0,23876.0,3545
109,2018-11-01,Iowa,303.0,4319.0,7
110,2018-11-01,Nevada,4806.0,3132.0,270
111,2018-11-01,Ohio,25372.0,26274.0,1241
112,2018-10-01,Florida,40226.0,16671.0,2018
113,2018-10-01,Iowa,173.0,2700.0,1
114,2018-10-01,Nevada,3731.0,2051.0,200
115,2018-10-01,Ohio,18401.0,15830.0,996
116,2018-09-01,Florida,38313.0,14646.0,1734
117,2018-09-01,Iowa,132.0,2391.0,2
118,2018-09-01,Nevada,3714.0,2111.0,224
119,2018-09-01,Ohio,17460.0,13312.0,868
120,2018-08-01,Florida,44227.0,15734.0,1935
121,2018-08-01,Iowa,160.0,1935.0,6
122,2018-08-01,Nevada,4164.0,2137.0,198
123,2018-08-01,Ohio,18482.0,12449.0,894
124,2018-07-01,Florida,42524.0,13468.0,1851
125,2018-07-01,Iowa,76.0,1469.0,4
126,2018-07-01,Nevada,3678.0,1799.0,206
127,2018-07-01,Ohio,16942.0,10255.0,778
128,2018-06-01,Florida,44821.0,14764.0,2475
129,2018-06-01,Iowa,92.0,1415.0,1
130,2018-06-01,Nevada,4117.0,2112.0,223
131,2018-06-01,Ohio,17338.0,10649.0,759
132,2018-05-01,Florida,47755.0,15850.0,2086
133,2018-05-01,Iowa,95.0,1507.0,6
134,2018-05-01,Nevada,4185.0,2209.0,249
135,2018-05-01,Ohio,18830.0,10891.0,756
136,2018-04-01,Florida,50172.0,18650.0,2186
137,2018-04-01,Iowa,156.0,2140.0,1
138,2018-04-01,Nevada,4424.0,2689.0,267
139,2018-04-01,Ohio,25111.0,15459.0,1163
140,2018-03-01,Florida,64230.0,30487.0,2808
141,2018-03-01,Iowa,177.0,3585.0,3
142,2018-03-01,Nevada,6427.0,3625.0,348
143,2018-03-01,Ohio,36314.0,24477.0,1830
144,2018-02-01,Florida,57435.0,26441.0,2539
145,2018-02-01,Iowa,156.0,2587.0,8
146,2018-02-01,Nevada,5510.0,2898.0,267
147,2018-02-01,Ohio,30691.0,19698.0,1799
148,2018-01-01,Florida,48377.0,20690.0,1737
149,2018-01-01,Iowa,119.0,2004.0,3
150,2018-01-01,Nevada,4280.0,2217.0,237
151,2018-01-01,Ohio,21340.0,12521.0,898
152,2017-12-01,Florida,68075.0,37127.0,2495
153,2017-12-01,Iowa,231.0,4678.0,7
154,2017-12-01,Nevada,6236.0,4188.0,349
155,2017-12-01,Ohio,34374.0,27651.0,1431
156,2017-11-01,Florida,61694.0,31631.0,2622
157,2017-11-01,Iowa,280.0,4847.0,6
158,2017-11-01,Nevada,5350.0,3425.0,377
159,2017-11-01,Ohio,30973.0,28808.0,1536
160,2017-10-01,Florida,49568.0,24580.0,2089
161,2017-10-01,Iowa,126.0,3209.0,3
162,2017-10-01,Nevada,4361.0,2884.0,301
163,2017-10-01,Ohio,22833.0,18172.0,1106
164,2017-09-01,Florida,39199.0,17949.0,1721
165,2017-09-01,Iowa,151.0,2640.0,1
166,2017-09-01,Nevada,3992.0,2509.0,237
167,2017-09-01,Ohio,21085.0,14998.0,1026
168,2017-08-01,Florida,46682.0,21717.0,2048
169,2017-08-01,Iowa,134.0,2002.0,3
170,2017-08-01,Nevada,4052.0,2251.0,241
171,2017-08-01,Ohio,21432.0,14447.0,1034
172,2017-07-01,Florida,47430.0,18941.0,1844
173,2017-07-01,Iowa,94.0,1649.0,4
174,2017-07-01,Nevada,3647.0,1962.0,223
175,2017-07-01,Ohio,20990.0,14131.0,959
176,2017-06-01,Florida,52114.0,19380.0,2012
177,2017-06-01,Iowa,98.0,1641.0,3
178,2017-06-01,Nevada,4449.0,2337.0,219
179,2017-06-01,Ohio,23703.0,13536.0,973
180,2017-05-01,Florida,49700.0,18476.0,1907
181,2017-05-01,Iowa,196.0,1759.0,3
182,2017-05-01,Nevada,4630.0,2288.0,234
183,2017-05-01,Ohio,25230.0,12924.0,1059
184,2017-04-01,Florida,52889.0,19489.0,1840
185,2017-04-01,Iowa,252.0,2348.0,3
186,2017-04-01,Nevada,4890.0,2747.0,287
187,2017-04-01,Ohio,31417.0,16030.0,1209
188,2017-03-01,Florida,60787.0,23982.0,2176
