Year,State,State Code,Votes Cast,Total Votes Cast,Party
1976,ALABAMA,AL,659170,1182850,DEMOCRAT
1976,ALABAMA,AL,504070,1182850,REPUBLICAN
1976,ALABAMA,AL,9198,1182850,OTHER
1976,ALABAMA,AL,6669,1182850,OTHER
1976,ALABAMA,AL,1954,1182850,OTHER
1976,ALABAMA,AL,1481,1182850,LIBERTARIAN
1976,ALABAMA,AL,308,1182850,OTHER
1976,ALASKA,AK,71555,123574,REPUBLICAN
1976,ALASKA,AK,44058,123574,DEMOCRAT
1976,ALASKA,AK,6785,123574,LIBERTARIAN
1976,ALASKA,AK,1176,123574,OTHER
1976,ARIZONA,AZ,418642,742719,REPUBLICAN
1976,ARIZONA,AZ,295602,742719,DEMOCRAT
1976,ARIZONA,AZ,19229,742719,OTHER
1976,ARIZONA,AZ,7647,742719,LIBERTARIAN
1976,ARIZONA,AZ,928,742719,OTHER
1976,ARIZONA,AZ,564,742719,OTHER
1976,ARIZONA,AZ,85,742719,OTHER
1976,ARIZONA,AZ,22,742719,OTHER
1976,ARKANSAS,AR,498604,767535,DEMOCRAT
1976,ARKANSAS,AR,267903,767535,REPUBLICAN
1976,ARKANSAS,AR,639,767535,OTHER
1976,ARKANSAS,AR,389,767535,OTHER
1976,CALIFORNIA,CA,3882244,7803770,REPUBLICAN
1976,CALIFORNIA,CA,3742284,7803770,DEMOCRAT
1976,CALIFORNIA,CA,56388,7803770,OTHER
1976,CALIFORNIA,CA,51098,7803770,OTHER
1976,CALIFORNIA,CA,41731,7803770,OTHER
1976,CALIFORNIA,CA,17259,7803770,OTHER
1976,CALIFORNIA,CA,12766,7803770,OTHER
1976,COLORADO,CO,584278,1081440,REPUBLICAN
1976,COLORADO,CO,460801,1081440,DEMOCRAT
1976,COLORADO,CO,26047,1081440,OTHER
1976,COLORADO,CO,5338,1081440,LIBERTARIAN
1976,COLORADO,CO,2886,1081440,OTHER
1976,COLORADO,CO,1122,1081440,OTHER
1976,COLORADO,CO,565,1081440,OTHER
1976,COLORADO,CO,403,1081440,OTHER
1976,CONNECTICUT,CT,719261,1386355,REPUBLICAN
1976,CONNECTICUT,CT,647895,1386355,DEMOCRAT
1976,CONNECTICUT,CT,10309,1386355,OTHER
1976,CONNECTICUT,CT,7101,1386355,OTHER
1976,CONNECTICUT,CT,1789,1386355,OTHER
1976,DELAWARE,DE,122461,235642,DEMOCRAT
1976,DELAWARE,DE,109780,235642,REPUBLICAN
1976,DELAWARE,DE,2432,235642,OTHER
1976,DELAWARE,DE,645,235642,OTHER
1976,DELAWARE,DE,135,235642,OTHER
1976,DELAWARE,DE,103,235642,OTHER
1976,DELAWARE,DE,86,235642,OTHER
1976,DISTRICT OF COLUMBIA,DC,137818,168830,DEMOCRAT
1976,DISTRICT OF COLUMBIA,DC,27873,168830,REPUBLICAN
1976,DISTRICT OF COLUMBIA,DC,1656,168830,OTHER
1976,DISTRICT OF COLUMBIA,DC,1195,168830,OTHER
1976,DISTRICT OF COLUMBIA,DC,288,168830,OTHER
1976,FLORIDA,FL,1636000,3150631,DEMOCRAT
1976,FLORIDA,FL,1469531,3150631,REPUBLICAN
1976,FLORIDA,FL,23643,3150631,OTHER
1976,FLORIDA,FL,21325,3150631,OTHER
1976,FLORIDA,FL,132,3150631,OTHER
