,date,state,permit,handgun,long_gun,multiple
0,2021-02-01,Alabama,31803.0,20970.0,16026.0,959
1,2021-02-01,Alaska,222.0,3055.0,2564.0,189
2,2021-02-01,Arizona,9290.0,20530.0,9991.0,1114
3,2021-02-01,Arkansas,3123.0,7068.0,5289.0,390
4,2021-02-01,California,16025.0,40789.0,27915.0,0
5,2021-02-01,Colorado,10891.0,21729.0,13839.0,1760
6,2021-02-01,Connecticut,9792.0,6046.0,1996.0,0
7,2021-02-01,Delaware,353.0,2775.0,1563.0,153
8,2021-02-01,District of Columbia,538.0,304.0,4.0,2
9,2021-02-01,Florida,31875.0,66307.0,26720.0,2894
10,2021-02-01,Georgia,37243.0,21523.0,10215.0,727
11,2021-02-01,Guam,0.0,190.0,70.0,7
12,2021-02-01,Hawaii,1504.0,0.0,0.0,0
13,2021-02-01,Idaho,6846.0,6973.0,5631.0,385
14,2021-02-01,Illinois,18820.0,24290.0,11338.0,1320
15,2021-02-01,Indiana,902.0,25161.0,14378.0,998
16,2021-02-01,Iowa,15966.0,204.0,2462.0,2
17,2021-02-01,Kansas,2083.0,7573.0,5810.0,430
18,2021-02-01,Kentucky,1304.0,12171.0,8806.0,623
19,2021-02-01,Louisiana,2435.0,13373.0,7560.0,680
20,2021-02-01,Maine,678.0,4167.0,3357.0,215
21,2021-02-01,Mariana Islands,0.0,10.0,2.0,1
22,2021-02-01,Maryland,7561.0,9199.0,6777.0,10
23,2021-02-01,Massachusetts,11858.0,6856.0,3385.0,288
24,2021-02-01,Michigan,21953.0,28567.0,17556.0,892
25,2021-02-01,Minnesota,23639.0,15446.0,10501.0,668
26,2021-02-01,Mississippi,2468.0,9386.0,6389.0,359
27,2021-02-01,Missouri,5368.0,21819.0,16008.0,1233
28,2021-02-01,Montana,2254.0,4301.0,3920.0,292
29,2021-02-01,Nebraska,5639.0,236.0,1739.0,10
30,2021-02-01,Nevada,3965.0,6884.0,3079.0,419
31,2021-02-01,New Hampshire,1550.0,7071.0,3428.0,1
32,2021-02-01,New Jersey,0.0,12782.0,6457.0,0
33,2021-02-01,New Mexico,1017.0,7799.0,4700.0,376
34,2021-02-01,New York,3746.0,10259.0,15690.0,315
35,2021-02-01,North Carolina,49450.0,2128.0,15798.0,236
36,2021-02-01,North Dakota,673.0,2353.0,2572.0,98
37,2021-02-01,Ohio,18462.0,28134.0,16727.0,1212
38,2021-02-01,Oklahoma,2501.0,12984.0,8793.0,832
39,2021-02-01,Oregon,7123.0,16296.0,9940.0,13
40,2021-02-01,Pennsylvania,36118.0,54737.0,22421.0,0
41,2021-02-01,Puerto Rico,0.0,3411.0,231.0,32
42,2021-02-01,Rhode Island,0.0,1889.0,1034.0,322
43,2021-02-01,South Carolina,13811.0,15041.0,7521.0,520
44,2021-02-01,South Dakota,757.0,3654.0,3939.0,172
45,2021-02-01,Tennessee,9436.0,29633.0,17566.0,0
46,2021-02-01,Texas,38182.0,53772.0,27829.0,2537
47,2021-02-01,Utah,19487.0,6423.0,4559.0,0
48,2021-02-01,Vermont,0.0,1965.0,1571.0,127
49,2021-02-01,Virgin Islands,107.0,48.0,4.0,0
50,2021-02-01,Virginia,1935.0,29404.0,16798.0,0
51,2021-02-01,Washington,17955.0,24100.0,12681.0,65
52,2021-02-01,West Virginia,3153.0,6478.0,6160.0,385
53,2021-02-01,Wisconsin,16585.0,20757.0,12376.0,49
54,2021-02-01,Wyoming,682.0,2724.0,2320.0,150
55,2021-01-01,Alabama,39955.0,33563.0,23477.0,1568
56,2021-01-01,Alaska,283.0,3989.0,3574.0,262
57,2021-01-01,Arizona,9237.0,29336.0,14430.0,1795
58,2021-01-01,Arkansas,3231.0,11993.0,10043.0,596
59,2021-01-01,California,19078.0,55103.0,36179.0,0
60,2021-01-01,Colorado,10179.0,30172.0,18855.0,2730
61,2021-01-01,Connecticut,10880.0,8832.0,3192.0,0
62,2021-01-01,Delaware,53.0,4275.0,2391.0,161
63,2021-01-01,District of Columbia,693.0,357.0,8.0,2
64,2021-01-01,Florida,34470.0,97406.0,40173.0,4549
65,2021-01-01,Georgia,36667.0,33178.0,16797.0,1284
66,2021-01-01,Guam,0.0,161.0,84.0,14
67,2021-01-01,Hawaii,1503.0,0.0,0.0,0
68,2021-01-01,Idaho,6150.0,11036.0,8507.0,596
69,2021-01-01,Illinois,34093.0,35848.0,17817.0,2149
70,2021-01-01,Indiana,1205.0,37237.0,22732.0,1598
71,2021-01-01,Iowa,21062.0,304.0,4155.0,5
72,2021-01-01,Kansas,1566.0,12023.0,9512.0,704
73,2021-01-01,Kentucky,1562.0,20728.0,15271.0,1097
74,2021-01-01,Louisiana,2758.0,19621.0,13155.0,1103
75,2021-01-01,Maine,678.0,6644.0,5230.0,349
76,2021-01-01,Mariana Islands,0.0,13.0,9.0,5
77,2021-01-01,Maryland,7515.0,12312.0,10732.0,13
78,2021-01-01,Massachusetts,12398.0,9873.0,5021.0,453
79,2021-01-01,Michigan,30312.0,44266.0,28699.0,1282
80,2021-01-01,Minnesota,26909.0,20206.0,14259.0,860
81,2021-01-01,Mississippi,3264.0,15048.0,11420.0,632
82,2021-01-01,Missouri,5526.0,34178.0,24308.0,1705
83,2021-01-01,Montana,3227.0,6523.0,6292.0,422
84,2021-01-01,Nebraska,6956.0,340.0,2947.0,4
85,2021-01-01,Nevada,3829.0,9181.0,4325.0,546
86,2021-01-01,New Hampshire,1740.0,11034.0,5624.0,0
87,2021-01-01,New Jersey,0.0,17347.0,9596.0,0
88,2021-01-01,New Mexico,994.0,9617.0,6511.0,521
89,2021-01-01,New York,3664.0,12143.0,25221.0,427
90,2021-01-01,North Carolina,51156.0,2814.0,25266.0,284
91,2021-01-01,North Dakota,443.0,3664.0,3854.0,196
92,2021-01-01,Ohio,19539.0,45379.0,26775.0,1972
93,2021-01-01,Oklahoma,3084.0,21729.0,15182.0,1348
94,2021-01-01,Oregon,8849.0,24459.0,14997.0,11
95,2021-01-01,Pennsylvania,44600.0,81592.0,32671.0,0
96,2021-01-01,Puerto Rico,0.0,3463.0,258.0,36
97,2021-01-01,Rhode Island,0.0,2279.0,1421.0,480
98,2021-01-01,South Carolina,16989.0,20417.0,11129.0,802
99,2021-01-01,South Dakota,989.0,5326.0,5011.0,304
100,2021-01-01,Tennessee,10595.0,46194.0,29203.0,0
101,2021-01-01,Texas,58691.0,84022.0,47149.0,4131
102,2021-01-01,Utah,20909.0,9840.0,6964.0,0
103,2021-01-01,Vermont,0.0,3005.0,2523.0,183
104,2021-01-01,Virgin Islands,90.0,58.0,5.0,1
105,2021-01-01,Virginia,1007.0,41711.0,23650.0,0
106,2021-01-01,Washington,17599.0,30106.0,17179.0,86
107,2021-01-01,West Virginia,3404.0,10142.0,9708.0,594
108,2021-01-01,Wisconsin,23800.0,30495.0,16304.0,81
109,2021-01-01,Wyoming,654.0,4039.0,3697.0,197
110,2020-12-01,Alabama,33421.0,31103.0,28933.0,1388
111,2020-12-01,Alaska,441.0,3658.0,3822.0,233
112,2020-12-01,Arizona,9043.0,25093.0,14562.0,1395
113,2020-12-01,Arkansas,3878.0,10987.0,12719.0,510
114,2020-12-01,California,26034.0,59909.0,39389.0,0
115,2020-12-01,Colorado,10201.0,25577.0,19716.0,2292
116,2020-12-01,Connecticut,9783.0,6741.0,2694.0,0
117,2020-12-01,Delaware,201.0,3281.0,2610.0,175
118,2020-12-01,District of Columbia,760.0,322.0,17.0,1
119,2020-12-01,Florida,35227.0,81564.0,40115.0,3733
120,2020-12-01,Georgia,32767.0,28405.0,20236.0,1056
121,2020-12-01,Guam,0.0,182.0,71.0,11
122,2020-12-01,Hawaii,2003.0,0.0,0.0,0
123,2020-12-01,Idaho,6675.0,9354.0,9550.0,476
124,2020-12-01,Illinois,20056.0,29133.0,16557.0,1700
125,2020-12-01,Indiana,1082.0,30336.0,21852.0,1280
126,2020-12-01,Iowa,16368.0,312.0,4678.0,11
127,2020-12-01,Kansas,1799.0,9708.0,9941.0,582
128,2020-12-01,Kentucky,1365.0,19170.0,17438.0,923
129,2020-12-01,Louisiana,2726.0,19311.0,18379.0,965
130,2020-12-01,Maine,470.0,5001.0,5320.0,262
131,2020-12-01,Mariana Islands,0.0,13.0,11.0,0
132,2020-12-01,Maryland,8693.0,10338.0,9565.0,12
133,2020-12-01,Massachusetts,11182.0,7790.0,3882.0,313
134,2020-12-01,Michigan,20363.0,33647.0,29180.0,1097
135,2020-12-01,Minnesota,25217.0,15976.0,14943.0,670
136,2020-12-01,Mississippi,2844.0,14651.0,16554.0,669
137,2020-12-01,Missouri,4306.0,29358.0,26348.0,1530
138,2020-12-01,Montana,2295.0,5858.0,7265.0,387
139,2020-12-01,Nebraska,6766.0,297.0,3662.0,8
140,2020-12-01,Nevada,2780.0,8205.0,4599.0,529
141,2020-12-01,New Hampshire,1585.0,7660.0,4811.0,0
142,2020-12-01,New Jersey,0.0,12667.0,7473.0,0
143,2020-12-01,New Mexico,1407.0,8979.0,6931.0,482
144,2020-12-01,New York,3261.0,10486.0,24664.0,367
145,2020-12-01,North Carolina,45294.0,2647.0,28052.0,230
146,2020-12-01,North Dakota,706.0,2784.0,4076.0,135
147,2020-12-01,Ohio,19242.0,33723.0,27057.0,1444
148,2020-12-01,Oklahoma,2377.0,18791.0,17433.0,1127
149,2020-12-01,Oregon,7579.0,21533.0,16161.0,6
150,2020-12-01,Pennsylvania,33608.0,62948.0,29262.0,0
151,2020-12-01,Puerto Rico,0.0,3569.0,241.0,43
152,2020-12-01,Rhode Island,0.0,1794.0,1081.0,343
153,2020-12-01,South Carolina,14529.0,17908.0,13367.0,674
154,2020-12-01,South Dakota,782.0,4259.0,5814.0,203
155,2020-12-01,Tennessee,10324.0,40019.0,32201.0,0
156,2020-12-01,Texas,48860.0,79774.0,58650.0,3572
157,2020-12-01,Utah,18413.0,9296.0,9136.0,0
158,2020-12-01,Vermont,0.0,2351.0,2413.0,137
159,2020-12-01,Virgin Islands,162.0,44.0,3.0,1
160,2020-12-01,Virginia,1149.0,36502.0,26668.0,0
161,2020-12-01,Washington,20536.0,27422.0,18368.0,57
162,2020-12-01,West Virginia,2471.0,8706.0,10939.0,461
163,2020-12-01,Wisconsin,17883.0,23321.0,17480.0,60
164,2020-12-01,Wyoming,904.0,3998.0,4137.0,188
165,2020-11-01,Alabama,30694.0,27765.0,25924.0,1519
166,2020-11-01,Alaska,96.0,3474.0,3878.0,301
167,2020-11-01,Arizona,7483.0,25906.0,14698.0,1604
168,2020-11-01,Arkansas,4096.0,10069.0,12954.0,505
169,2020-11-01,California,28797.0,56793.0,37256.0,0
170,2020-11-01,Colorado,8841.0,27091.0,20410.0,2347
171,2020-11-01,Connecticut,8786.0,7253.0,2986.0,0
172,2020-11-01,Delaware,320.0,3863.0,2777.0,174
173,2020-11-01,District of Columbia,691.0,332.0,11.0,5
174,2020-11-01,Florida,35979.0,84366.0,40575.0,4176
175,2020-11-01,Georgia,28389.0,28102.0,19042.0,1205
176,2020-11-01,Guam,0.0,205.0,99.0,9
177,2020-11-01,Hawaii,1720.0,0.0,0.0,0
178,2020-11-01,Idaho,5266.0,8946.0,9372.0,555
179,2020-11-01,Illinois,27657.0,29335.0,17557.0,1890
180,2020-11-01,Indiana,1089.0,29416.0,24425.0,1383
181,2020-11-01,Iowa,12125.0,365.0,5751.0,4
182,2020-11-01,Kansas,1205.0,10569.0,10435.0,590
183,2020-11-01,Kentucky,1608.0,16578.0,17091.0,820
184,2020-11-01,Louisiana,2493.0,17819.0,18448.0,966
185,2020-11-01,Maine,528.0,4801.0,6062.0,305
186,2020-11-01,Mariana Islands,0.0,10.0,3.0,0
187,2020-11-01,Maryland,8416.0,10864.0,11038.0,9
188,2020-11-01,Massachusetts,12361.0,8817.0,4397.0,392
189,2020-11-01,Michigan,22609.0,35190.0,35065.0,1179
190,2020-11-01,Minnesota,25000.0,16316.0,17448.0,790
191,2020-11-01,Mississippi,2572.0,12893.0,15003.0,641
192,2020-11-01,Missouri,3187.0,27413.0,27727.0,1490
193,2020-11-01,Montana,2075.0,5060.0,6609.0,405
194,2020-11-01,Nebraska,6102.0,380.0,4117.0,8
195,2020-11-01,Nevada,2997.0,9055.0,4507.0,565
196,2020-11-01,New Hampshire,2001.0,9055.0,5356.0,0
197,2020-11-01,New Jersey,0.0,13826.0,8053.0,0
198,2020-11-01,New Mexico,1123.0,7277.0,5495.0,415
199,2020-11-01,New York,3203.0,10393.0,28951.0,405
200,2020-11-01,North Carolina,45847.0,2770.0,28807.0,241
201,2020-11-01,North Dakota,434.0,2738.0,4153.0,175
202,2020-11-01,Ohio,17994.0,37382.0,32959.0,1863
203,2020-11-01,Oklahoma,2172.0,18163.0,16961.0,1254
204,2020-11-01,Oregon,6347.0,21990.0,15648.0,4
205,2020-11-01,Pennsylvania,38174.0,75428.0,34686.0,0
206,2020-11-01,Puerto Rico,0.0,2883.0,217.0,26
207,2020-11-01,Rhode Island,0.0,2033.0,1419.0,525
208,2020-11-01,South Carolina,13819.0,19010.0,13569.0,787
209,2020-11-01,South Dakota,728.0,4302.0,6560.0,299
210,2020-11-01,Tennessee,10897.0,37467.0,31625.0,0
211,2020-11-01,Texas,43661.0,78827.0,56265.0,4006
212,2020-11-01,Utah,19297.0,9582.0,9044.0,0
213,2020-11-01,Vermont,0.0,2104.0,2445.0,165
214,2020-11-01,Virgin Islands,176.0,37.0,4.0,0
215,2020-11-01,Virginia,616.0,35909.0,26638.0,0
216,2020-11-01,Washington,18905.0,27563.0,18592.0,65
217,2020-11-01,West Virginia,2486.0,8086.0,11767.0,472
218,2020-11-01,Wisconsin,20980.0,25742.0,21825.0,71
